"","Unit","Date.sample","Female","Repro.State","Estrogen.ng.g","log.Estrogen","Takeover.period","ID.takeover","Date.takeover","Nb.days.relative.takeover","Infant","Age.takeover","Age.takeover.cat","Age.sample","Age.sample.cat","Laboratory","Wash.step","Avg.temperature","Cumulative.rainfall"
"351","M2","2010-12-06","F142","Cyc",1.84,0.264817823009536,"after","TO50","2010-01-31",309,"M88",11.8688524590164,"6-12 months",22,">18 months","UM","sodium azide",7.00666666666667,333.17
"352","M2","2010-06-11","F142","Cyc",3,0.477121254719662,"after","TO50","2010-01-31",131,"M88",11.8688524590164,"6-12 months",16.1639344262295,"12-18 months","UM","sodium azide",9.26451612903226,419.9
"353","M2","2009-03-23","F142","Lac",1.7,0.230448921378274,"before","TO50","2010-01-31",-314,"M88",11.8688524590164,"6-12 months",1.57377049180328,"0-6 months","UM","sodium azide",9.06428571428571,32.9
"354","M2","2010-11-03","F142","Cyc",1.69,0.227886704613674,"after","TO50","2010-01-31",276,"M88",11.8688524590164,"6-12 months",20.9180327868852,">18 months","UM","sodium azide",7.90645161290323,848.02
"355","M2","2009-02-14","F142","Lac",1.8,0.255272505103306,"before","TO50","2010-01-31",-351,"M88",11.8688524590164,"6-12 months",0.360655737704918,"0-6 months","UM","sodium azide",7.42258064516129,0.6
"356","M2","2010-02-26","F142","Lac",47.44,1.67614468035621,"after","TO50","2010-01-31",26,"M88",11.8688524590164,"6-12 months",12.7213114754098,"12-18 months","UM","sodium azide",8.31612903225806,33.7
"357","M2","2010-09-30","F142","Cyc",5.27,0.721810615212547,"after","TO50","2010-01-31",242,"M88",11.8688524590164,"6-12 months",19.8032786885246,">18 months","UM","sodium azide",8.48387096774194,1509.9
"358","M2","2010-04-15","F142","Cyc",12.56,1.09898963940118,"after","TO50","2010-01-31",74,"M88",11.8688524590164,"6-12 months",14.2950819672131,"12-18 months","UM","sodium azide",9.47741935483871,140
"359","M2","2010-08-17","F142","Cyc",6.73,0.828015064223977,"after","TO50","2010-01-31",198,"M88",11.8688524590164,"6-12 months",18.3606557377049,">18 months","UM","sodium azide",7.99677419354839,1486.3
"360","M2","2009-06-25","F142","Lac",1.03,0.0128372247051722,"before","TO50","2010-01-31",-220,"M88",11.8688524590164,"6-12 months",4.65573770491803,"0-6 months","UM","sodium azide",10.6258064516129,99.9
"361","M2","2009-05-17","F142","Lac",1.09,0.0374264979406237,"before","TO50","2010-01-31",-259,"M88",11.8688524590164,"6-12 months",3.37704918032787,"0-6 months","UM","sodium azide",10.1166666666667,53.7
"362","M2","2011-02-21","F142","Cyc",4.34,0.637489729512511,"after","TO50","2010-01-31",386,"M88",11.8688524590164,"6-12 months",24.5245901639344,">18 months","UM","20% methanol",7.80322580645161,0
"363","M2","2010-02-16","F142","Lac",14.89,1.17289469775218,"after","TO50","2010-01-31",16,"M88",11.8688524590164,"6-12 months",12.3934426229508,"12-18 months","UM","sodium azide",7.78064516129032,48.7
"364","M2","2010-05-20","F142","Cyc",3.96,0.597695185925512,"after","TO50","2010-01-31",109,"M88",11.8688524590164,"6-12 months",15.4426229508197,"12-18 months","UM","sodium azide",9.21,264.5
"365","M2","2011-04-06","F142","Cyc",7.6,0.880813592280791,"after","TO50","2010-01-31",430,"M88",11.8688524590164,"6-12 months",25.9672131147541,">18 months","SB","20% methanol",8.66129032258065,4.8
"366","M2","2010-10-08","F142","Cyc",7.1,0.851258348719075,"after","TO50","2010-01-31",250,"M88",11.8688524590164,"6-12 months",20.0655737704918,">18 months","UM","sodium azide",8.27,1473.32
"367","M1","2010-04-15","F148","Cyc",27.74,1.44310645673727,"after","TO50","2010-01-31",74,"M58",12.7213114754098,"12-18 months",15.1475409836066,"12-18 months","UM","sodium azide",9.47741935483871,140
"368","M1","2009-05-17","F148","Lac",1.38,0.139879086401236,"before","TO50","2010-01-31",-259,"M58",12.7213114754098,"12-18 months",4.22950819672131,"0-6 months","UM","sodium azide",10.1166666666667,53.7
"369","M1","2010-02-15","F148","Cyc",8.49,0.928907690243953,"after","TO50","2010-01-31",15,"M58",12.7213114754098,"12-18 months",13.2131147540984,"12-18 months","UM","sodium azide",7.73548387096774,48.7
"370","M1","2009-02-14","F148","Lac",3.68,0.565847818673518,"before","TO50","2010-01-31",-351,"M58",12.7213114754098,"12-18 months",1.21311475409836,"0-6 months","UM","sodium azide",7.42258064516129,0.6
"371","M1","2009-02-01","F148","Lac",0.85,-0.0705810742857073,"before","TO50","2010-01-31",-364,"M58",12.7213114754098,"12-18 months",0.786885245901639,"0-6 months","UM","sodium azide",6.63548387096774,42.7
"372","M1","2009-03-23","F148","Lac",2.06,0.313867220369153,"before","TO50","2010-01-31",-314,"M58",12.7213114754098,"12-18 months",2.42622950819672,"0-6 months","UM","sodium azide",9.06428571428571,32.9
"373","M1","2009-06-25","F148","Lac",2.03,0.307496037913213,"before","TO50","2010-01-31",-220,"M58",12.7213114754098,"12-18 months",5.50819672131148,"0-6 months","UM","sodium azide",10.6258064516129,99.9
"374","M1","2010-02-15","F155","Lac",8.23,0.91539983521227,"after","TO50","2010-01-31",15,"F167",11.9344262295082,"6-12 months",12.4262295081967,"12-18 months","UM","sodium azide",7.73548387096774,48.7
"375","M1","2009-02-16","F155","Lac",2.09,0.320146286111054,"before","TO50","2010-01-31",-349,"F167",11.9344262295082,"6-12 months",0.491803278688525,"0-6 months","UM","sodium azide",7.53548387096774,1.1
"376","M1","2009-03-24","F155","Lac",1.5,0.176091259055681,"before","TO50","2010-01-31",-313,"F167",11.9344262295082,"6-12 months",1.67213114754098,"0-6 months","UM","sodium azide",9.12857142857143,32.9
"377","M1","2010-09-30","F155","Cyc",5.9,0.770852011642144,"after","TO50","2010-01-31",242,"F167",11.9344262295082,"6-12 months",19.8688524590164,">18 months","UM","sodium azide",8.48387096774194,1509.9
"378","M1","2010-08-17","F155","Cyc",1.68,0.225309281725863,"after","TO50","2010-01-31",198,"F167",11.9344262295082,"6-12 months",18.4262295081967,">18 months","UM","sodium azide",7.99677419354839,1486.3
"379","M1","2009-05-17","F155","Lac",1.21,0.0827853703164501,"before","TO50","2010-01-31",-259,"F167",11.9344262295082,"6-12 months",3.44262295081967,"0-6 months","UM","sodium azide",10.1166666666667,53.7
"380","M1","2010-04-15","F155","Cyc",18.2,1.26007138798507,"after","TO50","2010-01-31",74,"F167",11.9344262295082,"6-12 months",14.3606557377049,"12-18 months","UM","sodium azide",9.47741935483871,140
"381","M1","2011-02-21","F155","Cyc",4.28,0.631443769013172,"after","TO50","2010-01-31",386,"F167",11.9344262295082,"6-12 months",24.5901639344262,">18 months","UM","20% methanol",7.80322580645161,0
"382","M1","2010-02-26","F155","Lac",10.77,1.03221570329798,"after","TO50","2010-01-31",26,"F167",11.9344262295082,"6-12 months",12.7868852459016,"12-18 months","UM","sodium azide",8.31612903225806,33.7
"383","M1","2009-06-25","F155","Lac",1.07,0.0293837776852097,"before","TO50","2010-01-31",-220,"F167",11.9344262295082,"6-12 months",4.72131147540984,"0-6 months","UM","sodium azide",10.6258064516129,99.9
"384","M1","2010-06-11","F155","Cyc",1.35,0.130333768495006,"after","TO50","2010-01-31",131,"F167",11.9344262295082,"6-12 months",16.2295081967213,"12-18 months","UM","sodium azide",9.26451612903226,419.9
"385","M1","2010-11-03","F155","Cyc",2.7,0.431363764158987,"after","TO50","2010-01-31",276,"F167",11.9344262295082,"6-12 months",20.983606557377,">18 months","UM","sodium azide",7.90645161290323,848.02
"386","M1","2010-10-08","F155","Cyc",9.48,0.976808337338066,"after","TO50","2010-01-31",250,"F167",11.9344262295082,"6-12 months",20.1311475409836,">18 months","UM","sodium azide",8.27,1473.32
"387","M1","2010-07-30","F155","Cyc",2.18,0.338456493604605,"after","TO50","2010-01-31",180,"F167",11.9344262295082,"6-12 months",17.8360655737705,"12-18 months","UM","sodium azide",8.16333333333333,1336.05
