"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Sex.infant","Parity","Takeover.before.swelling","Date.takeover","ID.takeover","Age.takeover","Dataset"
"114","M","F148","M120","2006-08-20","mother swells","2007-06-07",9.54098360655738,"M","multi","No takeover",NA,NA,NA,"conservative"
"115","B1","F14","F23","2010-04-12","mother swells","2011-03-05",10.7213114754098,"F","multi","No takeover",NA,NA,NA,"conservative"
"116","B1","F16","F36","2010-07-16","mother swells","2012-02-21",19.1803278688525,"F","multi","No takeover",NA,NA,NA,"conservative"
"117","T","F207","F209","2015-03-25","mother swells","2016-06-13",14.6229508196721,"F","multi","No takeover",NA,NA,NA,"conservative"
"118","H1","F98","M104","2009-03-12","mother swells","2011-04-05",24.7213114754098,"M","multi","No takeover",NA,NA,NA,"conservative"
"119","B1","F18","M149","2010-09-29","mother swells","2012-06-28",20.9180327868852,"M","multi","No takeover",NA,NA,NA,"conservative"
"120","H1","F100","M69","2009-02-10","mother swells","2011-04-05",25.7049180327869,"M","multi","No takeover",NA,NA,NA,"conservative"
"121","B","F20","M24","2006-11-12","mother swells","2008-04-12",16.9508196721311,"M","multi","No takeover",NA,NA,NA,"conservative"
"122","K","F118","F117","2018-11-22","mother swells","2020-02-20",14.9180327868852,"F","multi","No takeover",NA,NA,NA,"conservative"
"123","T","F215","M125","2013-04-11","mother swells","2014-05-19",13.2131147540984,"M","multi","No takeover",NA,NA,NA,"conservative"
"124","B1","F24","M11","2014-01-08","mother swells","2015-11-16",22.1967213114754,"M","primi","No takeover",NA,NA,NA,"conservative"
"125","M2","F161","F171","2014-09-10","mother swells","2016-01-26",16.4918032786885,"F","multi","No takeover",NA,NA,NA,"conservative"
"126","B1","F25","F34","2010-05-12","mother swells","2011-07-08",13.8360655737705,"F","multi","No takeover",NA,NA,NA,"conservative"
"127","B","F25","F30","2006-11-12","mother swells","2008-05-09",17.8360655737705,"F","multi","No takeover",NA,NA,NA,"conservative"
"128","B1","F29","F28","2010-09-25","mother swells","2012-06-06",20.327868852459,"F","primi","No takeover",NA,NA,NA,"conservative"
"129","D","F67","M45","2013-05-28","mother swells","2014-05-13",11.4754098360656,"M","multi","No takeover",NA,NA,NA,"conservative"
"130","D","F67","F73","2009-01-14","mother swells","2010-04-08",14.7213114754098,"F","multi","No takeover",NA,NA,NA,"conservative"
"131","B1","F30","M34","2011-12-16","mother swells","2013-03-13",14.8524590163934,"M","primi","No takeover",NA,NA,NA,"conservative"
"132","B","F31","F17","2007-05-07","mother swells","2008-05-09",12.0655737704918,"F","multi","No takeover",NA,NA,NA,"conservative"
"133","K","F118","F119","2014-11-21","mother swells","2016-03-24",16.0327868852459,"F","multi","No takeover",NA,NA,NA,"conservative"
"134","B1","F31","M15","2010-05-11","mother swells","2012-02-19",21.2786885245902,"M","multi","No takeover",NA,NA,NA,"conservative"
"135","W-old","F241","F243","2007-04-12","mother swells","2008-05-09",12.8852459016393,"F","primi","No takeover",NA,NA,NA,"conservative"
"136","B","F35","M80","2007-07-17","mother swells","2008-08-14",12.9180327868852,"M","multi","No takeover",NA,NA,NA,"conservative"
"137","D","F69","M33","2009-05-04","mother swells","2011-03-25",22.6229508196721,"M","primi","No takeover",NA,NA,NA,"conservative"
"138","D","F71","F72","2013-04-01","mother swells","2015-03-15",23.3770491803279,"F","primi","No takeover",NA,NA,NA,"conservative"
"139","L","F129","M82","2009-08-22","mother swells","2011-05-22",20.9180327868852,"M","multi","No takeover",NA,NA,NA,"conservative"
